6.0, 1997-01-29
6.1, 1997-06-08
6.2, 1997-10-02
6.3, 1998-03-01
6.4, 1998-10-30
6.5, 1999-06-09
7.0, 2000-05-08
7.1, 2001-04-13
7.2, 2002-02-04
7.3, 2002-11-27
7.4, 2003-11-17
8.0, 2005-01-19
8.1, 2005-11-08
8.2, 2006-12-05
8.3, 2008-02-04
8.4, 2009-07-01
9.0, 2010-09-20
9.1, 2011-09-12
9.2, 2012-09-10
